,Rank,School,State,Score,Year,8-Event,10-Event
236,237,Gross Catholic High School,Nebraska,"31,147.9[2]",2019,,
237,237,Crown Point High School,Indiana,31147.9,2019,,
238,238,Boulder Creek High School,Arizona,31074.3,2019,,
239,239,Kingman Academy of Learning,Arizona,30950.5,2019,,
240,240,Upper Lake High School,California,30939.6,2019,,
241,241,Quincy High School,Massachusetts,30746.6,2019,,
242,242,George Washington Carver High School,Georgia,30574.3,2019,,
243,243,Snowflake High School,Arizona,30520.8,2019,,
244,244,Las Plumas High School,California,30396.7,2019,,
245,245,South Williamsport High School,Pennsylvania,30348.2,2019,,
246,246,Sinton High School,Texas,30077.1,2019,,
0,1,Granada Hills Charter High School,California,,2020,"44,484.8[4]",-
1,2,El Camino Real Charter High School,California,,2020,"43,840.1[4]",-
2,3,Highland Park High School,Texas,,2020,41173.1,52264.8
3,4,Dulles High School,Texas,,2020,40473.3,51544.6
4,5,Calabasas High School,California,,2020,"38,721.9[4]",-
5,6,Pearland High School,Texas,,2020,38663.8,49623.8
6,7,Mark Keppel High School,California,,2020,"38,623.7[4]",-
7,8,Lubbock High School,Texas,,2020,38190.4,49748.7
8,9,Lebanon Trail High School,Texas,,2020,38176.1,49142.8
9,10,Friendswood High School,Texas,,2020,38062.8,48769.5
10,11,John Marshall High School,Texas,,2020,37895.1,49281.7
11,12,Grant High School,California,,2020,"37,340.8[4]",-
12,13,Whitney M. Young Magnet High School,Illinois,,2020,36858.8,-
13,14,James E. Taylor High School,Texas,,2020,36582,47970.3
14,15,Nimitz High School,Texas,,2020,36517.1,47548.6
15,16,Woodbridge High School,California,,2020,"36,463.9[4]",-
16,17,Bell High School,California,,2020,"36,160.0[4]",-
17,18,Albert G. Lane Technical High School,Illinois,,2020,36016.3,-
18,19,Centennial High School,Texas,,2020,35385.8,46400.8
19,20,Cinco Ranch High School,Texas,,2020,35367.7,46372.7
20,21,Canyon del Oro High School,Arizona,,2020,35305.7,44270.1
21,22,Edward S. Marcus High School,Texas,,2020,35161.2,46167.9
22,23,Hamilton High School,Arizona,,2020,35126.4,44776.4
23,24,Hebron High School,Texas,,2020,35020.6,46383.9
24,25,Tompkins High School,Texas,,2020,34832.2,45263.8
25,26,Plano East Senior High School,Texas,,2020,34781.3,46016.3
26,27,Irving High School,Texas,,2020,34554.6,45099.6
27,28,Rockwall-Heath High School,Texas,,2020,34460.7,44912.4
28,29,Marshall High School,California,,2020,"34,235.5[4]",-
29,30,The Colony High School,Texas,,2020,34146.1,44162.7
30,31,Elsinore High School,California,,2020,"34,101.7[4]",-
31,32,Garfield High School,California,,2020,"34,089.7[4]",-
32,33,Seven Lakes High School,Texas,,2020,33776.8,44508.4
33,34,Klein High School,Texas,,2020,33695.5,45055.5
34,35,J. Frank Dobie High School,Texas,,2020,32907.5,43074.2
35,36,Poteet High School,Texas,,2020,32614.4,43230.6
36,37,Etiwanda High School,California,,2020,"32,353.8[4]",-
37,38,Reedy High School,Texas,,2020,32222.8,42759.5
38,39,Pasadena Memorial High School,Texas,,2020,32163.7,42117
39,40,Katy High School,Texas,,2020,32108.5,43116.8
40,41,Lathrop High School,Alaska,,2020,31934.7,40524.7
41,42,Clear Lake High School,Texas,,2020,31912.7,41946
42,43,Cedar Rapids Jefferson High School,Iowa,,2020,31722.3,41906.6
43,44,Bandera High School,Texas,,2020,31517.2,42122.2
44,45,Wylie High School,Texas,,2020,31349.6,42514.6
45,46,Morton Ranch High School,Texas,,2020,31254.2,41737.5
46,47,Monterey High School,Texas,,2020,31133.7,41690.3
47,48,Cesar Chavez High School,Arizona,,2020,31117.5,40312.9
48,49,Earl Warren High School,Texas,,2020,31110.6,41085.6
49,50,Richardson High School,Texas,,2020,30962.4,41829.1
50,51,J. J. Pearce High School,Texas,,2020,30805.6,41452.8
51,52,Clear Creek High School,Texas,,2020,30787.6,40874.3
52,53,Health Careers High School,Texas,,2020,30690.6,41398.9
53,54,Frisco High School,Texas,,2020,30652.5,41398.9
54,55,Plano Senior High School,Texas,,2020,30580.6,41167.3
55,56,Wakeland High School,Texas,,2020,30516.4,42073.4
56,57,Bishop Hendricken High School,Rhode Island,,2020,"30,271.5[3]",37839.4
57,58,Frenship High School,Texas,,2020,30267,41037
58,59,Bingham High School,Utah,,2020,"30,256.2[3]",37820.3
59,60,Keller High School,Texas,,2020,30241.6,40546.6
60,61,Flower Mound High School,Texas,,2020,29994.9,40864.9
61,62,Rockwall High School,Texas,,2020,29988.8,39828.8
62,63,Alice High School,Texas,,2020,29499.1,39244.1
63,64,Lone Peak High School,Utah,,2020,"29,471.3[3]",36839.1
64,65,Lake Ridge High School,Texas,,2020,29411.6,39859.9
65,66,Fossil Ridge High School,Texas,,2020,29346.2,40031.1
66,67,Alvin High School,Texas,,2020,29343.3,39963.3
67,68,Acton-Boxborough Regional High School,Massachusetts,,2020,29287.8,37587.8
68,69,Barbers Hill High School,Texas,,2020,29264.1,39754.1
69,70,BASIS Scottsdale,Arizona,,2020,29222.4,39100.5
70,71,Heritage High School,Texas,,2020,28992.4,39492.4
71,72,Martinsville High School,Indiana,,2020,28912.9,38514.6
72,73,West Windsor-Plainsboro High School North,New Jersey,,2020,28906.5,38735.7
73,74,Westwood High School,Arizona,,2020,28684.2,38242.6
74,75,John Horn High School,Texas,,2020,28677.8,38917.8
75,76,Camille Casteel High School,Arizona,,2020,28597.3,37592.3
76,77,Mountain View Mesa High School,Arizona,,2020,28565,37831.6
77,78,Interior Distance Education of Alaska,Alaska,,2020,"28,433.8[3]",35542.2
78,79,Basha High School,Arizona,,2020,28362.6,38042.6
79,80,Da Vinci Academy of Science & the Arts,Utah,,2020,"28,161.8[3]",35202.3
80,81,BASIS Peoria,Arizona,,2020,28093.6,36696.9
81,82,Summit High School,Texas,,2020,27929,38410.6
82,83,Frisco Liberty High School,Texas,,2020,27913.2,38418.2
83,84,Boulder Creek High School,Arizona,,2020,27880.7,37110.8
84,85,Marana High School,Arizona,,2020,27633,37629.7
85,86,Red Mountain High School,Arizona,,2020,27617.2,37168.8
86,87,Parsippany Hills High School,New Jersey,,2020,27575,37181.7
87,88,Rutherford High School,New Jersey,,2020,27084.4,37047.6
88,89,Cibola High School,Arizona,,2020,26978.4,36630.1
89,90,Rowlett High School,Texas,,2020,26581.1,37089.5
90,91,St. Johns High School,Arizona,,2020,26550.5,36060
91,92,Lone Star High School,Texas,,2020,26485.5,36480.5
92,93,Manvel High School,Texas,,2020,26459.5,36939.5
93,94,Villa Rica High School,Georgia,,2020,"26,390.6[3]",32988.2
94,95,Richard King High School,Texas,,2020,26273.6,36938.6
95,96,Taylor High School,Texas,,2020,26256.5,37281.5
96,97,Skyline High School,Arizona,,2020,26153.7,36272.1
97,98,Foster High School,Texas,,2020,26144.2,36494.2
98,99,Parkview High School,Georgia,,2020,26086.5,34679.8
99,100,East Greenwich High School,Rhode Island,,2020,"25,926.2[3]",32407.8
100,101,Sam Houston High School,Texas,,2020,25680.4,35637.5
101,102,Lakeview-Fort Oglethorpe High School,Georgia,,2020,"25,664.5[3]",32080.6
102,103,Indian Hills High School,New Jersey,,2020,25664,35303.4
103,104,Show Low High School,Arizona,,2020,25618.2,34031.6
104,105,Seton Catholic High School,Arizona,,2020,25610.8,34714.2
105,106,Mountain View Marana High School,Arizona,,2020,25597.3,34769.2
106,107,Lubbock Coronado High School,Texas,,2020,25275.4,36130.4
107,108,Higley High School,Arizona,,2020,25175.4,35137
108,109,Maryvale High School,Arizona,,2020,24951.6,34057.8
109,110,Parsippany High School,New Jersey,,2020,24924.7,32474.7
110,111,South Central Calhoun High School,Iowa,,2020,24605.4,34428.6
111,112,Shaw High School,Georgia,,2020,"24,372.7[3]",30465.9
112,113,Frontier Academy High School,Colorado,,2020,"24,258.4[3]",30323
113,114,W.B. Ray High School,Texas,,2020,24243.8,34733.4
114,115,Desert View High School,Arizona,,2020,24171.1,33599.5
115,116,Talkington High School for Young Women Leaders,Texas,,2020,24105.4,34485.8
116,117,Wylie East High School,Texas,,2020,23681.6,34371.6
117,118,Robert Vela High School,Texas,,2020,23657.8,33732.8
118,119,Amundsen High School,Illinois,,2020,23615.1,-
119,120,El Paso High School,Texas,,2020,23516.7,34181.7
120,121,Veterans Memorial High School,Texas,,2020,23515.6,33060.6
121,122,West Mesquite High School,Texas,,2020,23479,33246.2
122,123,Townview School for the Talented & Gifted,Texas,,2020,23346.7,34106.7
123,124,Westwood High School,New Jersey,,2020,23318.3,33030
124,125,Frisco Liberty High School,Texas,,2020,23307.3,33426.6
125,126,Ashland High School,Massachusetts,,2020,23231,32151
126,127,Seguin High School,Texas,,2020,23047.8,33482.8
127,128,Martin High School,Texas,,2020,22987.6,30360.9
128,129,A.C. Jones High School,Texas,,2020,22637.7,32012.7
129,130,Lake Creek High School,Texas,,2020,22584.6,31139.6
130,131,Hackensack High School,New Jersey,,2020,22577.4,31984.9
131,132,Estacado High School,Texas,,2020,22574.6,32402.7
132,133,Weston High School,Connecticut,,2020,22446.8,31520.2
133,134,Clifton High School,New Jersey,,2020,22290.8,31657.4
134,135,Hanover Park High School,New Jersey,,2020,22251.1,31350.2
135,136,Natick High School,Massachusetts,,2020,22182.6,32177.6
136,137,Americas High School,Texas,,2020,21707.3,32232.3
137,138,International Leadership Of Texas - Garland High School,Texas,,2020,21641.8,31891.8
138,139,Dobson High School,Arizona,,2020,21578.2,31339.4
139,140,Quincy High School,Massachusetts,,2020,21568.3,30473.3
140,141,Ramapo High School,New Jersey,,2020,21424.7,30605.6
141,142,Wellesley High School,Massachusetts,,2020,21365.2,27845.2
142,143,Kinnelon High School,New Jersey,,2020,21263.6,31358.6
143,144,Flowing Wells High School,Arizona,,2020,21253.7,31043.7
144,145,Carl Schurz High School,Illinois,,2020,21026.2,-
145,146,Mabank High School,Texas,,2020,20890.5,30403
146,147,Gila Ridge High School,Arizona,,2020,20795.9,30067.6
147,148,Urbandale High School,Iowa,,2020,20735.3,29985.5
148,149,Sinton High School,Texas,,2020,20620.8,30635.8
149,150,Alhambra High School,Arizona,,2020,20586.9,28718
150,151,Trumbull High School,Connecticut,,2020,20510.9,30407.6
151,152,Denison High School,Iowa,,2020,20498.3,29743.3
152,153,Grundy Center-Dike-New Hartford High School,Iowa,,2020,20464.9,29619.9
153,154,Kingman Academy of Learning,Arizona,,2020,20433.9,28888.9
154,155,Dowling Catholic High School,Iowa,,2020,20179.1,29835.8
155,156,Sunnyside High School,Arizona,,2020,20179,29185.7
156,157,Aubrey High School,Texas,,2020,19948.9,30068.9
0,1,Granada Hills Charter High School,California,54021.1,2021,,
1,2,El Camino Real Charter High School,California,53665.5,2021,,
2,3,Highland Park High School,Texas,51914,2021,,
3,4,Friendswood High School,Texas,49370,2021,,
4,5,Dulles High School,Texas,49289.8,2021,,
5,6,Mark Keppel High School,California,49239.9,2021,,
6,7,Lubbock High School,Texas,49230.7,2021,,
7,8,Whitney M. Young Magnet High School,Illinois,48557.2,2021,,
8,9,Grant High School,California,47862.5,2021,,
9,10,Elsinore High School,California,47530.6,2021,,
10,11,Rutherford High School,New Jersey,47021,2021,,
11,11,Plano East Senior High School,Texas,46613.6,2021,,
12,12,Reedy High School,Texas,46385.4,2021,,
13,13,Pearland High School,Texas,46327.1,2021,,
14,14,Hamilton High School,Arizona,45785.8,2021,,
15,15,Canyon del Oro High School,Arizona,45625.2,2021,,
16,16,Marshall High School,California,45189.9,2021,,
17,17,Bandera High School,Texas,45184.2,2021,,
18,18,University High School (Irvine),California,45148.2,2021,,
19,19,Cedar Rapids Jefferson High School,Iowa,45105.1,2021,,
20,20,Albert G. Lane Technical High School,Illinois,44775.5,2021,,
21,21,Woodbridge High School,California,44283,2021,,
22,22,The Colony High School,Texas,44214.3,2021,,
23,23,Redlands High School,California,44189.1,2021,,
24,24,Rockwall-Heath High School,Texas,44071.6,2021,,
25,25,Earl Warren High School,Texas,43929.2,2021,,
26,26,Monterey High School,Texas,43902.7,2021,,
27,27,James E. Taylor High School,Texas,43845.4,2021,,
28,28,Etiwanda High School,California,43776.9,2021,,
29,29,University High School,California,43638.1,2021,,
30,30,Frisco High School,Texas,43555.7,2021,,
31,31,John Marshall High School,Texas,43440.3,2021,,
32,32,Vista del Lago High School,California,43412.1,2021,,
33,33,Hebron High School,Texas,43410,2021,,
34,34,Health Careers High School,Texas,43320.3,2021,,
35,35,Seven Lakes High School,Texas,43264.7,2021,,
36,36,Irving High School,Texas,43256.7,2021,,
37,37,BASIS Scottsdale,Arizona,43146.4,2021,,
38,38,Katy High School,Texas,43109.7,2021,,
39,39,Van Nuys High School,California,43100.2,2021,,
40,40,Thomas Jefferson High School for Science & Technology,Virginia,43037.3,2021,,
41,41,Souderton Area High School,Pennsylvania,"42,780.2[2]",2021,,
42,42,Basha High School,Arizona,42741.6,2021,,
43,43,Valencia High School,California,42740.7,2021,,
44,44,Palos Verdes Peninsula High School,California,42673.6,2021,,
45,45,Western Center Academy,California,42662.1,2021,,
46,46,Mater Dei High School,California,42651.5,2021,,
47,47,Cesar Chavez High School,Arizona,42616.2,2021,,
48,48,Alhambra High School,California,42346.9,2021,,
49,49,San Gabriel High School,California,42207,2021,,
50,50,Tompkins High School,Texas,42203.6,2021,,
51,51,Clear Creek High School,Texas,42141.4,2021,,
52,52,Coppell High School,Texas,42070.9,2021,,
53,53,Seneca Valley High School,Pennsylvania,"41,890.9[2]",2021,,
54,54,Campolindo High School,California,41763.7,2021,,
55,55,Westlake High School,California,41585.5,2021,,
56,56,Middle College High School,California,41562.1,2021,,
57,57,Redondo Union High School,California,41490.2,2021,,
58,58,Wylie High School,Texas,41453.7,2021,,
59,59,Garden Grove High School,California,41403.8,2021,,
60,60,Cinco Ranch High School,Texas,41283.7,2021,,
61,61,Nimitz High School,Texas,41160.7,2021,,
62,62,Edward S. Marcus High School,Texas,40965.3,2021,,
63,63,Vanden High School,California,40899.5,2021,,
64,64,Clear Springs High School,Texas,40761.3,2021,,
65,65,Rancho Cucamonga High School,California,40743.7,2021,,
66,66,J. J. Pearce High School,Texas,40731.1,2021,,
67,67,Adolfo Camarillo High School,California,40730.6,2021,,
68,68,Chaffey High School,California,40495.7,2021,,
69,69,Bellevue East High School,Nebraska,"40,493.1[1]",2021,,
70,70,Mount Michael Benedictine High School,Nebraska,"40,476.5[1]",2021,,
71,71,Ridge Point High School,Texas,40472.6,2021,,
72,72,Rowland High School,California,40389.9,2021,,
73,73,Wellesley High School,Massachusetts,40339.6,2021,,
74,74,Bella Vista High School,California,40236.8,2021,,
75,75,El Rancho High School,California,40212.5,2021,,
76,76,Frenship High School,Texas,40145.1,2021,,
77,77,Lathrop High School,Alaska,40075.2,2021,,
78,78,Beckman High School,California,39945.9,2021,,
79,79,Morton Ranch High School,Texas,39856.3,2021,,
80,80,West Torrance High School,California,39824.6,2021,,
81,81,BASIS Peoria,Arizona,39747.7,2021,,
82,82,Buhach Colony High School,California,39707.4,2021,,
83,83,Klein High School,Texas,39655.4,2021,,
84,84,Frisco Liberty High School,Texas,39653.5,2021,,
85,85,Camille Casteel High School,Arizona,39610.7,2021,,
86,86,Lebanon Trail High School,Texas,39605.8,2021,,
87,87,Bell High School,California,39578.6,2021,,
88,88,Westminster High School,California,39510.9,2021,,
89,89,Westchester Enriched Sciences Magnets,California,39422.1,2021,,
90,90,Lubbock Coronado High School,Texas,39373.5,2021,,
91,91,South Torrance High School,California,39346.4,2021,,
92,92,Sherman Oaks Center for Enriched Studies,California,39245,2021,,
93,93,Saugus High School,California,39205.1,2021,,
94,94,Heritage High School,Texas,39128.5,2021,,
95,95,Beverly Hills High School,California,38774.1,2021,,
96,96,Troy High School,California,38763.4,2021,,
97,97,Lemoore Middle College High School,California,38697.3,2021,,
98,98,Oxnard High School,California,38528.4,2021,,
99,99,Esperanza High School,California,38493.3,2021,,
100,100,Folsom High School,California,38419.8,2021,,
101,101,Centennial High School,Texas,38175.1,2021,,
102,102,Westwood High School,Arizona,38171.3,2021,,
103,103,Klein Collins High School,Texas,38023.4,2021,,
104,104,Lake Ridge High School,Texas,38004.4,2021,,
105,105,Richardson High School,Texas,37987.7,2021,,
106,106,Enochs High School,California,37981.6,2021,,
107,107,Clear Lake High School,Texas,37777.2,2021,,
108,108,Arvin High School,California,37657,2021,,
109,109,Southwest High School,California,37652,2021,,
110,110,Flower Mound High School,Texas,37621.3,2021,,
111,111,Mayde Creek High School,Texas,37599.8,2021,,
112,112,Davis Senior High School,California,37534.8,2021,,
113,113,Lone Star High School,Texas,37531.1,2021,,
114,114,Summit High School,Texas,37253,2021,,
115,115,Northland Christian School,Texas,37230.7,2021,,
116,116,Taylor High School,Texas,37213.4,2021,,
117,117,Acton-Boxborough Regional High School,Massachusetts,36990.8,2021,,
118,118,Clear Falls High School,Texas,36888.1,2021,,
119,119,Richard King High School,Texas,36664,2021,,
120,120,Plano Senior High School,Texas,36554.1,2021,,
121,121,Willits High School,California,36331.2,2021,,
122,122,John Paul II High School,Texas,36282.3,2021,,
123,123,Clovis North High School,California,36198.3,2021,,
124,124,North Hollywood High School,California,36154,2021,,
125,125,Red Mountain High School,Arizona,36117.7,2021,,
126,126,American Canyon High School,California,36100.7,2021,,
127,127,Thousand Oaks High School,California,36084.3,2021,,
128,128,Fossil Ridge High School,Texas,36038.7,2021,,
129,129,Northwest Pennsylvania Collegiate Academy,Pennsylvania,"35,977.1[2]",2021,,
130,130,Stockdale High School,California,35976.3,2021,,
131,131,Turner College & Career High School,Texas,35835.8,2021,,
132,132,Oak Ridge High School,California,35702.1,2021,,
133,133,Channel Islands High School,California,35630.6,2021,,
134,134,Elite Scholars Academy,Georgia,35417.1,2021,,
135,135,Oakdale High School,California,35355.8,2021,,
136,136,McDowell High School,Pennsylvania,"35,347.6[2]",2021,,
137,137,Veterans Memorial High School,Texas,35230.5,2021,,
138,138,Rockwall High School,Texas,35228.8,2021,,
139,139,Deer Park High School,Texas,35167.6,2021,,
140,140,Barbers Hill High School,Texas,35101.4,2021,,
141,141,J. Frank Dobie High School,Texas,35069.5,2021,,
142,142,John Horn High School,Texas,35015,2021,,
143,143,Legacy High School,Texas,34905.1,2021,,
144,144,South Central Calhoun High School,Iowa,34882.4,2021,,
145,145,Boulder Creek High School,Arizona,34880.3,2021,,
146,146,Parkview High School,Georgia,34737,2021,,
147,147,St. Johns High School,Arizona,34728.4,2021,,
148,148,Maryvale High School,Arizona,34710.4,2021,,
149,149,Clarion-Limestone High School,Pennsylvania,"34,668.4[2]",2021,,
150,150,Alvin High School,Texas,34652.9,2021,,
151,151,W.B. Ray High School,Texas,34567.7,2021,,
152,152,Permian High School,Texas,34438.1,2021,,
153,153,Lloyd V. Berkner High School,Texas,34354,2021,,
154,154,Talkington High School for Young Women Leaders,Texas,34280.8,2021,,
155,155,Hardaway High School,Georgia,34234.1,2021,,
156,156,Penns Valley High School,Pennsylvania,"34,089.7[2]",2021,,
157,157,Liberty High School (Liberty ISD),Texas,34039.9,2021,,
158,158,Verdugo Hills High School,California,33972.9,2021,,
159,159,Methacton High School,Pennsylvania,"33,819.8[2]",2021,,
160,160,Poteet High School,Texas,33806.3,2021,,
161,161,Arlington High School,Texas,33748.7,2021,,
162,162,Ketchikan High School,Alaska,33713,2021,,
163,163,Lake Creek High School,Texas,33677.2,2021,,
164,164,Rowlett High School,Texas,33646.1,2021,,
165,165,La Porte High School,Texas,33642.7,2021,,
166,166,Wakeland High School,Texas,33632.6,2021,,
167,167,Garland High School,Texas,33553,2021,,
168,168,Rancho Campana High School,California,33540.8,2021,,
169,169,Robert E. Lee High School,Texas,33528,2021,,
170,170,Mabank High School,Texas,33350.3,2021,,
171,171,Martin High School,Texas,33278.8,2021,,
172,172,Montgomery High School,Texas,33123.4,2021,,
173,173,Tuloso-Midway High School,Texas,32997.7,2021,,
174,174,Manvel High School,Texas,32986.3,2021,,
175,175,Adams High School,Texas,32971.9,2021,,
176,176,El Diamante High School,California,32861.4,2021,,
177,177,Ashland High School,Massachusetts,32814.8,2021,,
178,178,Villa Rica High School,Georgia,32788.9,2021,,
179,179,West Mesquite High School,Texas,32722.9,2021,,
180,180,San Juan Hills High School,California,32643.7,2021,,
181,181,Victory Early College High School,Texas,32632.4,2021,,
182,182,Mountain Ridge High School,Arizona,32630.4,2021,,
183,183,Frontier High School,California,32589.3,2021,,
184,184,Shaw High School,Georgia,32464,2021,,
185,185,Little Elm High School,Texas,32226.5,2021,,
186,186,Amundsen High School,Illinois,32213.3,2021,,
187,187,North Mesquite High School,Texas,32128.3,2021,,
188,188,South Mountain High School,Arizona,31409.7,2021,,
189,189,New Tech High School,Texas,31390.3,2021,,
190,190,Grundy Center-Dike-New Hartford High School,Iowa,31385.1,2021,,
191,191,Klein Cain High School,Texas,31316.7,2021,,
192,192,Show Low High School,Arizona,31246,2021,,
193,193,Seton Catholic High School,Arizona,31185.4,2021,,
194,194,BASIS Silicon Valley,California,31163.3,2021,,
195,195,Lakeview-Fort Oglethorpe High School,Georgia,31162.5,2021,,
196,196,Mesquite High School,Texas,31117.9,2021,,
197,197,Cibola High School,Arizona,30990.1,2021,,
198,198,Foster High School,Texas,30989.5,2021,,
199,199,North Shore High School,Texas,30942.6,2021,,
200,200,Montwood High School,Texas,30899.6,2021,,
201,201,Chicago High School for Agricultural Sciences,Illinois,30785,2021,,
202,202,Jordan High School,Texas,30733.3,2021,,
203,203,North Garland High School,Texas,30645.7,2021,,
204,204,Columbus High School,Georgia,30523,2021,,
205,205,Johnston High School,Iowa,30517.4,2021,,
206,206,Independence High School,Texas,30378.5,2021,,
207,207,Sinton High School,Texas,30308.6,2021,,
208,208,Rodriguez High School,California,30278.8,2021,,
209,209,Dobson High School,Arizona,30268.4,2021,,
210,210,Higley High School,Arizona,30172,2021,,
0,1,Dulles High School,Texas,52214.5,2022,,
1,2,Granada Hills Charter High School,California,51949.5,2022,,
2,3,Highland Park High School,Texas,51445.2,2022,,
3,4,El Camino Real Charter High School,California,50815.1,2022,,
4,5,Edward S. Marcus High School,Texas,48390.1,2022,,
5,6,Reedy High School,Texas,47986,2022,,
6,7,Lubbock High School,Texas,46680.9,2022,,
7,8,Friendswood High School,Texas,46675.1,2022,,
8,9,Oakwood High School,Ohio,46659.9,2022,,
9,10,James E. Taylor High School,Texas,46406.1,2022,,
10,11,Pearland High School,Texas,46043.8,2022,,
11,12,The Colony High School,Texas,45698.4,2022,,
12,13,Lebanon Trail High School,Texas,45600.1,2022,,
13,14,John Marshall High School,Texas,45534,2022,,
14,15,Hebron High School,Texas,44894.6,2022,,
15,16,Frisco High School,Texas,44688.2,2022,,
16,17,Woodbridge High School,California,44243.2,2022,,
17,18,Health Careers High School,Texas,44106.6,2022,,
18,19,University High School,California,43387.7,2022,,
19,20,Heritage High School,Texas,43310.4,2022,,
20,21,Centennial High School,Texas,43061.3,2022,,
21,22,Cinco Ranch High School,Texas,43019.6,2022,,
22,23,Hamilton High School,Arizona,42908.8,2022,,
23,24,Lathrop High School,Alaska,42590,2022,,
24,25,Mark Keppel High School,California,41600,2022,,
25,26,Rockwall-Heath High School,Texas,41569.2,2022,,
26,27,Katy High School,Texas,41568.2,2022,,
27,28,Seneca Valley High School,Pennsylvania,41475.9,2022,,
28,29,Frisco Liberty High School,Texas,41399,2022,,
29,30,Richardson High School,Texas,41116.9,2022,,
30,31,Plano East Senior High School,Texas,40989.9,2022,,
31,32,Nimitz High School,Texas,40949.6,2022,,
32,33,Red Mountain High School,Arizona,40770.7,2022,,
33,34,Rutherford High School,New Jersey,40625.5,2022,,
34,35,Clear Lake High School,Texas,40551.7,2022,,
35,36,Waukesha West High School,Wisconsin,40497,2022,,
36,37,Cedar Rapids Jefferson High School,Iowa,40330.5,2022,,
37,38,Clear Springs High School,Texas,40323.8,2022,,
38,39,Souderton Area High School,Pennsylvania,40311.3,2022,,
39,40,Paetow High School,Texas,40283.7,2022,,
40,41,Canyon del Oro High School,Arizona,40221.5,2022,,
41,42,McDowell High School,Pennsylvania,39955.9,2022,,
42,43,Watertown High School,Wisconsin,39889.2,2022,,
43,44,W.B. Ray High School,Texas,39860.8,2022,,
44,45,Seven Lakes High School,Texas,39851.6,2022,,
45,46,Irving High School,Texas,39572.3,2022,,
46,47,Clear Falls High School,Texas,39260.5,2022,,
47,48,Morton Ranch High School,Texas,39252.9,2022,,
48,49,Rockwall High School,Texas,39011.8,2022,,
49,50,Wylie High School,Texas,38992.7,2022,,
50,51,J. Frank Dobie High School,Texas,38811.3,2022,,
51,52,Summit High School,Texas,38784.7,2022,,
52,53,Mater Dei High School,California,38716.2,2022,,
53,54,Chaffey High School,California,38675.4,2022,,
54,55,Lemoore Middle College High School,California,38656.3,2022,,
55,56,Lone Star High School,Texas,38638,2022,,
56,57,Thomas Jefferson High School for Science & Technology,Virginia,38561.5,2022,,
57,58,Foster High School,Texas,38437.6,2022,,
58,59,BASIS Scottsdale,Arizona,38425.7,2022,,
59,60,Dubiski Career Tech High School,Texas,38362.1,2022,,
60,61,BASIS Peoria,Arizona,38289.3,2022,,
61,62,Clarion-Limestone High School,Pennsylvania,38214.5,2022,,
62,63,Mount Michael Benedictine High School,Nebraska,38204.9,2022,,
63,64,John Paul II High School,Texas,38133.7,2022,,
64,65,Basha High School,Arizona,38107.2,2022,,
65,66,Indian Hills High School,New Jersey,38076,2022,,
66,67,BASIS Chandler,Arizona,38069.1,2022,,
67,68,Campolindo High School,California,37921.1,2022,,
68,69,Klein High School,Texas,37763.2,2022,,
69,70,Ridge Point High School,Texas,37695.7,2022,,
70,71,Cesar Chavez High School,Arizona,37617.2,2022,,
71,72,Frenship High School,Texas,37369.7,2022,,
72,73,Redlands High School,California,37203.8,2022,,
73,74,Montoursville High School,Pennsylvania,37165.3,2022,,
74,75,Middle College High School,California,37131.4,2022,,
75,76,Elsinore High School,California,37078.4,2022,,
76,77,Western Center Academy,California,37038.7,2022,,
77,78,West Torrance High School,California,36766.6,2022,,
78,79,Oakdale High School,California,36673.2,2022,,
79,80,Garland High School,Texas,36475.2,2022,,
80,81,Deer Park High School,Texas,36465.5,2022,,
81,82,Cleveland Charter High School,California,36441.8,2022,,
82,83,Lake Ridge High School,Texas,36315.9,2022,,
83,84,Palos Verdes Peninsula High School,California,36306.8,2022,,
84,85,Mountain View Marana High School,Arizona,36262.3,2022,,
85,86,Coppell High School,Texas,36030.8,2022,,
86,87,Redondo Union High School,California,35770.4,2022,,
87,88,Barbers Hill High School,Texas,35680.7,2022,,
88,89,Northland Christian School,Texas,35664.7,2022,,
89,90,Monterey High School,Texas,35631.9,2022,,
90,91,Richard King High School,Texas,35608.4,2022,,
91,92,Westwood High School,Arizona,35560,2022,,
92,93,Folsom High School,California,35470.1,2022,,
93,94,Valencia High School,California,35446.3,2022,,
94,95,Van Nuys High School,California,35417.3,2022,,
95,96,Frisco Memorial High School,Texas,35408.3,2022,,
96,97,Marana High School,Arizona,35359.3,2022,,
97,98,Bandera High School,Texas,35314.3,2022,,
98,99,Montgomery High School,Texas,35228.4,2022,,
99,100,Beaumont High School,California,35187.3,2022,,
100,101,Penns Valley High School,Pennsylvania,35175.7,2022,,
101,102,Lloyd V. Berkner High School,Texas,35150.6,2022,,
102,103,Mountain Ridge High School,Arizona,35078.1,2022,,
103,104,University High School (Irvine),California,35054.3,2022,,
104,105,Permian High School,Texas,35000.3,2022,,
105,106,New Tech Odessa High School,Texas,34802.9,2022,,
106,107,Sandra Day O'Connor High School,Texas,34754.4,2022,,
107,108,Westlake High School,California,34698.4,2022,,
108,109,Interior Distance Education of Alaska,Alaska,34628,2022,,
109,110,Vista del Lago High School,California,34613.9,2022,,
110,111,Garden Grove High School,California,34608.2,2022,,
111,111,Mansfield High School,Texas,34608.2,2022,,
112,112,Vanden High School,California,34536,2022,,
